driver,team,lap_number,LapTime,compound,is_pit,stint,lap_start_time,lap_time_s,year,event,round,stint_index,lap_index_in_stint,stint_length
ALB,Williams,1,0 days 00:01:43.888000,SOFT,False,1.0,0 days 00:59:59.911000,103.888,2024,Bahrain Grand Prix,1,1,0,56
ALO,Aston Martin,1,0 days 00:01:41.679000,SOFT,False,1.0,0 days 00:59:59.911000,101.679,2024,Bahrain Grand Prix,1,1,0,57
BOT,Kick Sauber,1,0 days 00:01:48.536000,SOFT,False,1.0,0 days 00:59:59.911000,108.536,2024,Bahrain Grand Prix,1,1,0,55
GAS,Alpine,1,0 days 00:01:47.240000,SOFT,False,1.0,0 days 00:59:59.911000,107.24,2024,Bahrain Grand Prix,1,1,0,56
HAM,Mercedes,1,0 days 00:01:43.122000,SOFT,False,1.0,0 days 00:59:59.911000,103.122,2024,Bahrain Grand Prix,1,1,0,57
HUL,Haas F1 Team,1,0 days 00:01:53.555000,SOFT,False,1.0,0 days 00:59:59.911000,113.555,2024,Bahrain Grand Prix,1,1,0,56
LEC,Ferrari,1,0 days 00:01:38.271000,SOFT,False,1.0,0 days 00:59:59.911000,98.271,2024,Bahrain Grand Prix,1,1,0,57
MAG,Haas F1 Team,1,0 days 00:01:44.349000,SOFT,False,1.0,0 days 00:59:59.911000,104.349,2024,Bahrain Grand Prix,1,1,0,56
NOR,McLaren,1,0 days 00:01:42.168000,SOFT,False,1.0,0 days 00:59:59.911000,102.168,2024,Bahrain Grand Prix,1,1,0,57
OCO,Alpine,1,0 days 00:01:46.657000,SOFT,False,1.0,0 days 00:59:59.911000,106.657,2024,Bahrain Grand Prix,1,1,0,56
PER,Red Bull Racing,1,0 days 00:01:40.053000,SOFT,False,1.0,0 days 00:59:59.911000,100.053,2024,Bahrain Grand Prix,1,1,0,57
PIA,McLaren,1,0 days 00:01:42.523000,SOFT,False,1.0,0 days 00:59:59.911000,102.523,2024,Bahrain Grand Prix,1,1,0,57
RIC,RB,1,0 days 00:01:45.668000,SOFT,False,1.0,0 days 00:59:59.911000,105.668,2024,Bahrain Grand Prix,1,1,0,56
RUS,Mercedes,1,0 days 00:01:39.228000,SOFT,False,1.0,0 days 00:59:59.911000,99.228,2024,Bahrain Grand Prix,1,1,0,57
SAI,Ferrari,1,0 days 00:01:40.620000,SOFT,False,1.0,0 days 00:59:59.911000,100.62,2024,Bahrain Grand Prix,1,1,0,57
SAR,Williams,1,0 days 00:01:45.921000,SOFT,False,1.0,0 days 00:59:59.911000,105.921,2024,Bahrain Grand Prix,1,1,0,54
STR,Aston Martin,1,0 days 00:01:50.214000,SOFT,False,1.0,0 days 00:59:59.911000,110.214,2024,Bahrain Grand Prix,1,1,0,57
TSU,RB,1,0 days 00:01:43.485000,SOFT,False,1.0,0 days 00:59:59.911000,103.485,2024,Bahrain Grand Prix,1,1,0,56
VER,Red Bull Racing,1,0 days 00:01:37.284000,SOFT,False,1.0,0 days 00:59:59.911000,97.284,2024,Bahrain Grand Prix,1,1,0,57
ZHO,Kick Sauber,1,0 days 00:01:44.801000,SOFT,False,1.0,0 days 00:59:59.911000,104.801,2024,Bahrain Grand Prix,1,1,0,56
ALB,Williams,2,0 days 00:01:38.826000,SOFT,False,1.0,0 days 01:01:44.093000,98.826,2024,Bahrain Grand Prix,1,1,1,56
ALO,Aston Martin,2,0 days 00:01:38.020000,SOFT,False,1.0,0 days 01:01:41.884000,98.02,2024,Bahrain Grand Prix,1,1,1,57
BOT,Kick Sauber,2,0 days 00:01:38.259000,SOFT,False,1.0,0 days 01:01:48.741000,98.259,2024,Bahrain Grand Prix,1,1,1,55
GAS,Alpine,2,0 days 00:01:39.059000,SOFT,False,1.0,0 days 01:01:47.445000,99.059,2024,Bahrain Grand Prix,1,1,1,56
HAM,Mercedes,2,0 days 00:01:38.273000,SOFT,False,1.0,0 days 01:01:43.327000,98.273,2024,Bahrain Grand Prix,1,1,1,57
HUL,Haas F1 Team,2,0 days 00:02:10.911000,HARD,False,2.0,0 days 01:01:53.760000,130.911,2024,Bahrain Grand Prix,1,1,1,56
LEC,Ferrari,2,0 days 00:01:36.862000,SOFT,False,1.0,0 days 01:01:38.476000,96.862,2024,Bahrain Grand Prix,1,1,1,57
MAG,Haas F1 Team,2,0 days 00:01:38.911000,SOFT,False,1.0,0 days 01:01:44.554000,98.911,2024,Bahrain Grand Prix,1,1,1,56
NOR,McLaren,2,0 days 00:01:38.010000,SOFT,False,1.0,0 days 01:01:42.373000,98.01,2024,Bahrain Grand Prix,1,1,1,57
OCO,Alpine,2,0 days 00:01:39.094000,SOFT,False,1.0,0 days 01:01:46.862000,99.094,2024,Bahrain Grand Prix,1,1,1,56
PER,Red Bull Racing,2,0 days 00:01:36.541000,SOFT,False,1.0,0 days 01:01:40.258000,96.541,2024,Bahrain Grand Prix,1,1,1,57
PIA,McLaren,2,0 days 00:01:38.382000,SOFT,False,1.0,0 days 01:01:42.728000,98.382,2024,Bahrain Grand Prix,1,1,1,57
RIC,RB,2,0 days 00:01:39.509000,SOFT,False,1.0,0 days 01:01:45.873000,99.509,2024,Bahrain Grand Prix,1,1,1,56
RUS,Mercedes,2,0 days 00:01:36.635000,SOFT,False,1.0,0 days 01:01:39.433000,96.635,2024,Bahrain Grand Prix,1,1,1,57
SAI,Ferrari,2,0 days 00:01:37.236000,SOFT,False,1.0,0 days 01:01:40.825000,97.236,2024,Bahrain Grand Prix,1,1,1,57
SAR,Williams,2,0 days 00:01:38.481000,SOFT,False,1.0,0 days 01:01:46.126000,98.481,2024,Bahrain Grand Prix,1,1,1,54
STR,Aston Martin,2,0 days 00:01:37.987000,SOFT,False,1.0,0 days 01:01:50.419000,97.987,2024,Bahrain Grand Prix,1,1,1,57
TSU,RB,2,0 days 00:01:38.689000,SOFT,False,1.0,0 days 01:01:43.690000,98.689,2024,Bahrain Grand Prix,1,1,1,56
VER,Red Bull Racing,2,0 days 00:01:36.296000,SOFT,False,1.0,0 days 01:01:37.489000,96.296,2024,Bahrain Grand Prix,1,1,1,57
ZHO,Kick Sauber,2,0 days 00:01:38.920000,SOFT,False,1.0,0 days 01:01:45.006000,98.92,2024,Bahrain Grand Prix,1,1,1,56
ALB,Williams,3,0 days 00:01:38.507000,SOFT,False,1.0,0 days 01:03:22.919000,98.507,2024,Bahrain Grand Prix,1,1,2,56
ALO,Aston Martin,3,0 days 00:01:39.046000,SOFT,False,1.0,0 days 01:03:19.904000,99.046,2024,Bahrain Grand Prix,1,1,2,57
BOT,Kick Sauber,3,0 days 00:01:38.837000,SOFT,False,1.0,0 days 01:03:27,98.837,2024,Bahrain Grand Prix,1,1,2,55
GAS,Alpine,3,0 days 00:01:38.744000,SOFT,False,1.0,0 days 01:03:26.504000,98.744,2024,Bahrain Grand Prix,1,1,2,56
HAM,Mercedes,3,0 days 00:01:38.303000,SOFT,False,1.0,0 days 01:03:21.600000,98.303,2024,Bahrain Grand Prix,1,1,2,57
HUL,Haas F1 Team,3,0 days 00:01:37.317000,HARD,False,2.0,0 days 01:04:04.671000,97.317,2024,Bahrain Grand Prix,1,1,2,56
LEC,Ferrari,3,0 days 00:01:38.062000,SOFT,False,1.0,0 days 01:03:15.338000,98.062,2024,Bahrain Grand Prix,1,1,2,57
MAG,Haas F1 Team,3,0 days 00:01:38.399000,SOFT,False,1.0,0 days 01:03:23.465000,98.399,2024,Bahrain Grand Prix,1,1,2,56
NOR,McLaren,3,0 days 00:01:37.787000,SOFT,False,1.0,0 days 01:03:20.383000,97.787,2024,Bahrain Grand Prix,1,1,2,57
OCO,Alpine,3,0 days 00:01:38.771000,SOFT,False,1.0,0 days 01:03:25.956000,98.771,2024,Bahrain Grand Prix,1,1,2,56
PER,Red Bull Racing,3,0 days 00:01:37.297000,SOFT,False,1.0,0 days 01:03:16.799000,97.297,2024,Bahrain Grand Prix,1,1,2,57
PIA,McLaren,3,0 days 00:01:38.258000,SOFT,False,1.0,0 days 01:03:21.110000,98.258,2024,Bahrain Grand Prix,1,1,2,57
RIC,RB,3,0 days 00:01:38.760000,SOFT,False,1.0,0 days 01:03:25.382000,98.76,2024,Bahrain Grand Prix,1,1,2,56
RUS,Mercedes,3,0 days 00:01:36.406000,SOFT,False,1.0,0 days 01:03:16.068000,96.406,2024,Bahrain Grand Prix,1,1,2,57
SAI,Ferrari,3,0 days 00:01:37.080000,SOFT,False,1.0,0 days 01:03:18.061000,97.08,2024,Bahrain Grand Prix,1,1,2,57
SAR,Williams,3,0 days 00:01:38.707000,SOFT,False,1.0,0 days 01:03:24.607000,98.707,2024,Bahrain Grand Prix,1,1,2,54
STR,Aston Martin,3,0 days 00:01:38.279000,SOFT,False,1.0,0 days 01:03:28.406000,98.279,2024,Bahrain Grand Prix,1,1,2,57
TSU,RB,3,0 days 00:01:38.431000,SOFT,False,1.0,0 days 01:03:22.379000,98.431,2024,Bahrain Grand Prix,1,1,2,56
VER,Red Bull Racing,3,0 days 00:01:36.753000,SOFT,False,1.0,0 days 01:03:13.785000,96.753,2024,Bahrain Grand Prix,1,1,2,57
ZHO,Kick Sauber,3,0 days 00:01:38.582000,SOFT,False,1.0,0 days 01:03:23.926000,98.582,2024,Bahrain Grand Prix,1,1,2,56
ALB,Williams,4,0 days 00:01:38.422000,SOFT,False,1.0,0 days 01:05:01.426000,98.422,2024,Bahrain Grand Prix,1,1,3,56
ALO,Aston Martin,4,0 days 00:01:37.776000,SOFT,False,1.0,0 days 01:04:58.950000,97.776,2024,Bahrain Grand Prix,1,1,3,57
BOT,Kick Sauber,4,0 days 00:01:38.643000,SOFT,False,1.0,0 days 01:05:05.837000,98.643,2024,Bahrain Grand Prix,1,1,3,55
GAS,Alpine,4,0 days 00:01:38.503000,SOFT,False,1.0,0 days 01:05:05.248000,98.503,2024,Bahrain Grand Prix,1,1,3,56
HAM,Mercedes,4,0 days 00:01:38.287000,SOFT,False,1.0,0 days 01:04:59.903000,98.287,2024,Bahrain Grand Prix,1,1,3,57
HUL,Haas F1 Team,4,0 days 00:01:37.349000,HARD,False,2.0,0 days 01:05:41.988000,97.349,2024,Bahrain Grand Prix,1,1,3,56
LEC,Ferrari,4,0 days 00:01:37.752000,SOFT,False,1.0,0 days 01:04:53.400000,97.752,2024,Bahrain Grand Prix,1,1,3,57
MAG,Haas F1 Team,4,0 days 00:01:38.497000,SOFT,False,1.0,0 days 01:05:01.864000,98.497,2024,Bahrain Grand Prix,1,1,3,56
NOR,McLaren,4,0 days 00:01:37.450000,SOFT,False,1.0,0 days 01:04:58.170000,97.45,2024,Bahrain Grand Prix,1,1,3,57
OCO,Alpine,4,0 days 00:01:38.625000,SOFT,False,1.0,0 days 01:05:04.727000,98.625,2024,Bahrain Grand Prix,1,1,3,56
PER,Red Bull Racing,4,0 days 00:01:37.722000,SOFT,False,1.0,0 days 01:04:54.096000,97.722,2024,Bahrain Grand Prix,1,1,3,57
PIA,McLaren,4,0 days 00:01:37.897000,SOFT,False,1.0,0 days 01:04:59.368000,97.897,2024,Bahrain Grand Prix,1,1,3,57
RIC,RB,4,0 days 00:01:38.610000,SOFT,False,1.0,0 days 01:05:04.142000,98.61,2024,Bahrain Grand Prix,1,1,3,56
RUS,Mercedes,4,0 days 00:01:37.738000,SOFT,False,1.0,0 days 01:04:52.474000,97.738,2024,Bahrain Grand Prix,1,1,3,57
SAI,Ferrari,4,0 days 00:01:37.264000,SOFT,False,1.0,0 days 01:04:55.141000,97.264,2024,Bahrain Grand Prix,1,1,3,57
SAR,Williams,4,0 days 00:01:38.390000,SOFT,False,1.0,0 days 01:05:03.314000,98.39,2024,Bahrain Grand Prix,1,1,3,54
STR,Aston Martin,4,0 days 00:01:38.364000,SOFT,False,1.0,0 days 01:05:06.685000,98.364,2024,Bahrain Grand Prix,1,1,3,57
TSU,RB,4,0 days 00:01:38.310000,SOFT,False,1.0,0 days 01:05:00.810000,98.31,2024,Bahrain Grand Prix,1,1,3,56
VER,Red Bull Racing,4,0 days 00:01:36.647000,SOFT,False,1.0,0 days 01:04:50.538000,96.647,2024,Bahrain Grand Prix,1,1,3,57
ZHO,Kick Sauber,4,0 days 00:01:38.428000,SOFT,False,1.0,0 days 01:05:02.508000,98.428,2024,Bahrain Grand Prix,1,1,3,56
ALB,Williams,5,0 days 00:01:38.509000,SOFT,False,1.0,0 days 01:06:39.848000,98.509,2024,Bahrain Grand Prix,1,1,4,56
ALO,Aston Martin,5,0 days 00:01:39.292000,SOFT,False,1.0,0 days 01:06:36.726000,99.292,2024,Bahrain Grand Prix,1,1,4,57
BOT,Kick Sauber,5,0 days 00:01:40.087000,SOFT,False,1.0,0 days 01:06:44.480000,100.087,2024,Bahrain Grand Prix,1,1,4,55
GAS,Alpine,5,0 days 00:01:38.664000,SOFT,False,1.0,0 days 01:06:43.751000,98.664,2024,Bahrain Grand Prix,1,1,4,56
HAM,Mercedes,5,0 days 00:01:38.350000,SOFT,False,1.0,0 days 01:06:38.190000,98.35,2024,Bahrain Grand Prix,1,1,4,57
HUL,Haas F1 Team,5,0 days 00:01:37.663000,HARD,False,2.0,0 days 01:07:19.337000,97.663,2024,Bahrain Grand Prix,1,1,4,56
LEC,Ferrari,5,0 days 00:01:38.131000,SOFT,False,1.0,0 days 01:06:31.152000,98.131,2024,Bahrain Grand Prix,1,1,4,57
MAG,Haas F1 Team,5,0 days 00:01:38.576000,SOFT,False,1.0,0 days 01:06:40.361000,98.576,2024,Bahrain Grand Prix,1,1,4,56
NOR,McLaren,5,0 days 00:01:37.794000,SOFT,False,1.0,0 days 01:06:35.620000,97.794,2024,Bahrain Grand Prix,1,1,4,57
OCO,Alpine,5,0 days 00:01:38.640000,SOFT,False,1.0,0 days 01:06:43.352000,98.64,2024,Bahrain Grand Prix,1,1,4,56
PER,Red Bull Racing,5,0 days 00:01:38.044000,SOFT,False,1.0,0 days 01:06:31.818000,98.044,2024,Bahrain Grand Prix,1,1,4,57
PIA,McLaren,5,0 days 00:01:37.859000,SOFT,False,1.0,0 days 01:06:37.265000,97.859,2024,Bahrain Grand Prix,1,1,4,57
RIC,RB,5,0 days 00:01:38.704000,SOFT,False,1.0,0 days 01:06:42.752000,98.704,2024,Bahrain Grand Prix,1,1,4,56
RUS,Mercedes,5,0 days 00:01:38.116000,SOFT,False,1.0,0 days 01:06:30.212000,98.116,2024,Bahrain Grand Prix,1,1,4,57
SAI,Ferrari,5,0 days 00:01:38.032000,SOFT,False,1.0,0 days 01:06:32.405000,98.032,2024,Bahrain Grand Prix,1,1,4,57
SAR,Williams,5,0 days 00:01:38.757000,SOFT,False,1.0,0 days 01:06:41.704000,98.757,2024,Bahrain Grand Prix,1,1,4,54
STR,Aston Martin,5,0 days 00:01:38.725000,SOFT,False,1.0,0 days 01:06:45.049000,98.725,2024,Bahrain Grand Prix,1,1,4,57
TSU,RB,5,0 days 00:01:38.321000,SOFT,False,1.0,0 days 01:06:39.120000,98.321,2024,Bahrain Grand Prix,1,1,4,56
VER,Red Bull Racing,5,0 days 00:01:37.173000,SOFT,False,1.0,0 days 01:06:27.185000,97.173,2024,Bahrain Grand Prix,1,1,4,57
ZHO,Kick Sauber,5,0 days 00:01:38.798000,SOFT,False,1.0,0 days 01:06:40.936000,98.798,2024,Bahrain Grand Prix,1,1,4,56
ALB,Williams,6,0 days 00:01:38.575000,SOFT,False,1.0,0 days 01:08:18.357000,98.575,2024,Bahrain Grand Prix,1,1,5,56
ALO,Aston Martin,6,0 days 00:01:38.053000,SOFT,False,1.0,0 days 01:08:16.018000,98.053,2024,Bahrain Grand Prix,1,1,5,57
BOT,Kick Sauber,6,0 days 00:01:39.206000,SOFT,False,1.0,0 days 01:08:24.567000,99.206,2024,Bahrain Grand Prix,1,1,5,55
GAS,Alpine,6,0 days 00:01:39.099000,SOFT,False,1.0,0 days 01:08:22.415000,99.099,2024,Bahrain Grand Prix,1,1,5,56
HAM,Mercedes,6,0 days 00:01:38.183000,SOFT,False,1.0,0 days 01:08:16.540000,98.183,2024,Bahrain Grand Prix,1,1,5,57
HUL,Haas F1 Team,6,0 days 00:01:37.896000,HARD,False,2.0,0 days 01:08:57,97.896,2024,Bahrain Grand Prix,1,1,5,56
LEC,Ferrari,6,0 days 00:01:37.782000,SOFT,False,1.0,0 days 01:08:09.283000,97.782,2024,Bahrain Grand Prix,1,1,5,57
MAG,Haas F1 Team,6,0 days 00:01:38.529000,SOFT,False,1.0,0 days 01:08:18.937000,98.529,2024,Bahrain Grand Prix,1,1,5,56
NOR,McLaren,6,0 days 00:01:37.896000,SOFT,False,1.0,0 days 01:08:13.414000,97.896,2024,Bahrain Grand Prix,1,1,5,57
OCO,Alpine,6,0 days 00:01:38.874000,SOFT,False,1.0,0 days 01:08:21.992000,98.874,2024,Bahrain Grand Prix,1,1,5,56
PER,Red Bull Racing,6,0 days 00:01:37.823000,SOFT,False,1.0,0 days 01:08:09.862000,97.823,2024,Bahrain Grand Prix,1,1,5,57
PIA,McLaren,6,0 days 00:01:37.955000,SOFT,False,1.0,0 days 01:08:15.124000,97.955,2024,Bahrain Grand Prix,1,1,5,57
RIC,RB,6,0 days 00:01:38.689000,SOFT,False,1.0,0 days 01:08:21.456000,98.689,2024,Bahrain Grand Prix,1,1,5,56
RUS,Mercedes,6,0 days 00:01:37.784000,SOFT,False,1.0,0 days 01:08:08.328000,97.784,2024,Bahrain Grand Prix,1,1,5,57
SAI,Ferrari,6,0 days 00:01:37.741000,SOFT,False,1.0,0 days 01:08:10.437000,97.741,2024,Bahrain Grand Prix,1,1,5,57
SAR,Williams,6,0 days 00:01:38.582000,SOFT,False,1.0,0 days 01:08:20.461000,98.582,2024,Bahrain Grand Prix,1,1,5,54
STR,Aston Martin,6,0 days 00:01:38.925000,SOFT,False,1.0,0 days 01:08:23.774000,98.925,2024,Bahrain Grand Prix,1,1,5,57
TSU,RB,6,0 days 00:01:38.361000,SOFT,False,1.0,0 days 01:08:17.441000,98.361,2024,Bahrain Grand Prix,1,1,5,56
VER,Red Bull Racing,6,0 days 00:01:37.092000,SOFT,False,1.0,0 days 01:08:04.358000,97.092,2024,Bahrain Grand Prix,1,1,5,57
ZHO,Kick Sauber,6,0 days 00:01:38.488000,SOFT,False,1.0,0 days 01:08:19.734000,98.488,2024,Bahrain Grand Prix,1,1,5,56
ALB,Williams,7,0 days 00:01:38.971000,SOFT,False,1.0,0 days 01:09:56.932000,98.971,2024,Bahrain Grand Prix,1,1,6,56
ALO,Aston Martin,7,0 days 00:01:38.008000,SOFT,False,1.0,0 days 01:09:54.071000,98.008,2024,Bahrain Grand Prix,1,1,6,57
BOT,Kick Sauber,7,0 days 00:01:38.654000,SOFT,False,1.0,0 days 01:10:03.773000,98.654,2024,Bahrain Grand Prix,1,1,6,55
GAS,Alpine,7,0 days 00:01:39.078000,SOFT,False,1.0,0 days 01:10:01.514000,99.078,2024,Bahrain Grand Prix,1,1,6,56
HAM,Mercedes,7,0 days 00:01:37.839000,SOFT,False,1.0,0 days 01:09:54.723000,97.839,2024,Bahrain Grand Prix,1,1,6,57
HUL,Haas F1 Team,7,0 days 00:01:37.682000,HARD,False,2.0,0 days 01:10:34.896000,97.682,2024,Bahrain Grand Prix,1,1,6,56
LEC,Ferrari,7,0 days 00:01:38.957000,SOFT,False,1.0,0 days 01:09:47.065000,98.957,2024,Bahrain Grand Prix,1,1,6,57
MAG,Haas F1 Team,7,0 days 00:01:40.058000,SOFT,False,1.0,0 days 01:09:57.466000,100.058,2024,Bahrain Grand Prix,1,1,6,56
NOR,McLaren,7,0 days 00:01:37.860000,SOFT,False,1.0,0 days 01:09:51.310000,97.86,2024,Bahrain Grand Prix,1,1,6,57
OCO,Alpine,7,0 days 00:01:39.152000,SOFT,False,1.0,0 days 01:10:00.866000,99.152,2024,Bahrain Grand Prix,1,1,6,56
PER,Red Bull Racing,7,0 days 00:01:37.821000,SOFT,False,1.0,0 days 01:09:47.685000,97.821,2024,Bahrain Grand Prix,1,1,6,57
PIA,McLaren,7,0 days 00:01:37.984000,SOFT,False,1.0,0 days 01:09:53.079000,97.984,2024,Bahrain Grand Prix,1,1,6,57
RIC,RB,7,0 days 00:01:39.193000,SOFT,False,1.0,0 days 01:10:00.145000,99.193,2024,Bahrain Grand Prix,1,1,6,56
RUS,Mercedes,7,0 days 00:01:38.082000,SOFT,False,1.0,0 days 01:09:46.112000,98.082,2024,Bahrain Grand Prix,1,1,6,57
SAI,Ferrari,7,0 days 00:01:38.260000,SOFT,False,1.0,0 days 01:09:48.178000,98.26,2024,Bahrain Grand Prix,1,1,6,57
SAR,Williams,7,0 days 00:01:39.464000,SOFT,False,1.0,0 days 01:09:59.043000,99.464,2024,Bahrain Grand Prix,1,1,6,54
STR,Aston Martin,7,0 days 00:01:38.769000,SOFT,False,1.0,0 days 01:10:02.699000,98.769,2024,Bahrain Grand Prix,1,1,6,57
TSU,RB,7,0 days 00:01:38.364000,SOFT,False,1.0,0 days 01:09:55.802000,98.364,2024,Bahrain Grand Prix,1,1,6,56
VER,Red Bull Racing,7,0 days 00:01:37.038000,SOFT,False,1.0,0 days 01:09:41.450000,97.038,2024,Bahrain Grand Prix,1,1,6,57
ZHO,Kick Sauber,7,0 days 00:01:39.517000,SOFT,False,1.0,0 days 01:09:58.222000,99.517,2024,Bahrain Grand Prix,1,1,6,56
ALB,Williams,8,0 days 00:01:38.660000,SOFT,False,1.0,0 days 01:11:35.903000,98.66,2024,Bahrain Grand Prix,1,1,7,56
ALO,Aston Martin,8,0 days 00:01:38.103000,SOFT,False,1.0,0 days 01:11:32.079000,98.103,2024,Bahrain Grand Prix,1,1,7,57
BOT,Kick Sauber,8,0 days 00:01:38.968000,SOFT,False,1.0,0 days 01:11:42.427000,98.968,2024,Bahrain Grand Prix,1,1,7,55
GAS,Alpine,8,0 days 00:01:39.287000,SOFT,False,1.0,0 days 01:11:40.592000,99.287,2024,Bahrain Grand Prix,1,1,7,56
HAM,Mercedes,8,0 days 00:01:38.221000,SOFT,False,1.0,0 days 01:11:32.562000,98.221,2024,Bahrain Grand Prix,1,1,7,57
HUL,Haas F1 Team,8,0 days 00:01:37.820000,HARD,False,2.0,0 days 01:12:12.578000,97.82,2024,Bahrain Grand Prix,1,1,7,56
LEC,Ferrari,8,0 days 00:01:38.136000,SOFT,False,1.0,0 days 01:11:26.022000,98.136,2024,Bahrain Grand Prix,1,1,7,57
MAG,Haas F1 Team,8,0 days 00:01:39.172000,SOFT,False,1.0,0 days 01:11:37.524000,99.172,2024,Bahrain Grand Prix,1,1,7,56
NOR,McLaren,8,0 days 00:01:38.134000,SOFT,False,1.0,0 days 01:11:29.170000,98.134,2024,Bahrain Grand Prix,1,1,7,57
OCO,Alpine,8,0 days 00:01:39.422000,SOFT,False,1.0,0 days 01:11:40.018000,99.422,2024,Bahrain Grand Prix,1,1,7,56
PER,Red Bull Racing,8,0 days 00:01:37.838000,SOFT,False,1.0,0 days 01:11:25.506000,97.838,2024,Bahrain Grand Prix,1,1,7,57
PIA,McLaren,8,0 days 00:01:37.956000,SOFT,False,1.0,0 days 01:11:31.063000,97.956,2024,Bahrain Grand Prix,1,1,7,57
RIC,RB,8,0 days 00:01:39.529000,SOFT,False,1.0,0 days 01:11:39.338000,99.529,2024,Bahrain Grand Prix,1,1,7,56
RUS,Mercedes,8,0 days 00:01:37.862000,SOFT,False,1.0,0 days 01:11:24.194000,97.862,2024,Bahrain Grand Prix,1,1,7,57
SAI,Ferrari,8,0 days 00:01:38.183000,SOFT,False,1.0,0 days 01:11:26.438000,98.183,2024,Bahrain Grand Prix,1,1,7,57
SAR,Williams,8,0 days 00:01:39.580000,SOFT,False,1.0,0 days 01:11:38.507000,99.58,2024,Bahrain Grand Prix,1,1,7,54
STR,Aston Martin,8,0 days 00:01:38.857000,SOFT,False,1.0,0 days 01:11:41.468000,98.857,2024,Bahrain Grand Prix,1,1,7,57
TSU,RB,8,0 days 00:01:38.513000,SOFT,False,1.0,0 days 01:11:34.166000,98.513,2024,Bahrain Grand Prix,1,1,7,56
VER,Red Bull Racing,8,0 days 00:01:37.024000,SOFT,False,1.0,0 days 01:11:18.488000,97.024,2024,Bahrain Grand Prix,1,1,7,57
ZHO,Kick Sauber,8,0 days 00:01:39.646000,SOFT,False,1.0,0 days 01:11:37.739000,99.646,2024,Bahrain Grand Prix,1,1,7,56
ALB,Williams,9,0 days 00:01:38.652000,SOFT,False,1.0,0 days 01:13:14.563000,98.652,2024,Bahrain Grand Prix,1,1,8,56
ALO,Aston Martin,9,0 days 00:01:38.896000,SOFT,False,1.0,0 days 01:13:10.182000,98.896,2024,Bahrain Grand Prix,1,1,8,57
BOT,Kick Sauber,9,0 days 00:01:39.425000,SOFT,False,1.0,0 days 01:13:21.395000,99.425,2024,Bahrain Grand Prix,1,1,8,55
GAS,Alpine,9,0 days 00:01:39.452000,SOFT,False,1.0,0 days 01:13:19.879000,99.452,2024,Bahrain Grand Prix,1,1,8,56
HAM,Mercedes,9,0 days 00:01:38.645000,SOFT,False,1.0,0 days 01:13:10.783000,98.645,2024,Bahrain Grand Prix,1,1,8,57
HUL,Haas F1 Team,9,0 days 00:01:37.883000,HARD,False,2.0,0 days 01:13:50.398000,97.883,2024,Bahrain Grand Prix,1,1,8,56
LEC,Ferrari,9,0 days 00:01:37.844000,SOFT,False,1.0,0 days 01:13:04.158000,97.844,2024,Bahrain Grand Prix,1,1,8,57
MAG,Haas F1 Team,9,0 days 00:01:38.861000,SOFT,False,1.0,0 days 01:13:16.696000,98.861,2024,Bahrain Grand Prix,1,1,8,56
NOR,McLaren,9,0 days 00:01:38.064000,SOFT,False,1.0,0 days 01:13:07.304000,98.064,2024,Bahrain Grand Prix,1,1,8,57
OCO,Alpine,9,0 days 00:01:39.312000,SOFT,False,1.0,0 days 01:13:19.440000,99.312,2024,Bahrain Grand Prix,1,1,8,56
PER,Red Bull Racing,9,0 days 00:01:37.596000,SOFT,False,1.0,0 days 01:13:03.344000,97.596,2024,Bahrain Grand Prix,1,1,8,57
PIA,McLaren,9,0 days 00:01:38.096000,SOFT,False,1.0,0 days 01:13:09.019000,98.096,2024,Bahrain Grand Prix,1,1,8,57
RIC,RB,9,0 days 00:01:39.338000,SOFT,False,1.0,0 days 01:13:18.867000,99.338,2024,Bahrain Grand Prix,1,1,8,56
RUS,Mercedes,9,0 days 00:01:37.730000,SOFT,False,1.0,0 days 01:13:02.056000,97.73,2024,Bahrain Grand Prix,1,1,8,57
SAI,Ferrari,9,0 days 00:01:38.030000,SOFT,False,1.0,0 days 01:13:04.621000,98.03,2024,Bahrain Grand Prix,1,1,8,57
SAR,Williams,9,0 days 00:01:39.366000,SOFT,False,1.0,0 days 01:13:18.087000,99.366,2024,Bahrain Grand Prix,1,1,8,54
STR,Aston Martin,9,0 days 00:01:42.112000,SOFT,False,1.0,0 days 01:13:20.325000,102.112,2024,Bahrain Grand Prix,1,1,8,57
TSU,RB,9,0 days 00:01:38.554000,SOFT,False,1.0,0 days 01:13:12.679000,98.554,2024,Bahrain Grand Prix,1,1,8,56
VER,Red Bull Racing,9,0 days 00:01:37.229000,SOFT,False,1.0,0 days 01:12:55.512000,97.229,2024,Bahrain Grand Prix,1,1,8,57
ZHO,Kick Sauber,9,0 days 00:01:41.849000,SOFT,False,1.0,0 days 01:13:17.385000,101.849,2024,Bahrain Grand Prix,1,1,8,56
ALB,Williams,10,0 days 00:01:38.952000,SOFT,False,1.0,0 days 01:14:53.215000,98.952,2024,Bahrain Grand Prix,1,1,9,56
ALO,Aston Martin,10,0 days 00:01:39.325000,SOFT,False,1.0,0 days 01:14:49.078000,99.325,2024,Bahrain Grand Prix,1,1,9,57
BOT,Kick Sauber,10,0 days 00:01:39.112000,SOFT,False,1.0,0 days 01:15:00.820000,99.112,2024,Bahrain Grand Prix,1,1,9,55
